round,tile,deal_in_count,round_total,rate_%
10,5m,122,2973,4.1035990581903805
10,7m,119,2973,4.002690884628321
10,4p,117,2973,3.9354187689202824
10,2m,116,2973,3.901782711066263
10,3p,115,2973,3.8681466532122437
10,2s,115,2973,3.8681466532122437
10,8s,114,2973,3.834510595358224
10,3m,113,2973,3.8008745375042046
10,3s,113,2973,3.8008745375042046
10,6m,111,2973,3.7336024217961654
10,7p,110,2973,3.699966363942146
10,6p,107,2973,3.5990581903800876
10,6s,105,2973,3.5317860746720484
10,4m,104,2973,3.498150016818029
10,8p,98,2973,3.296333669693912
10,4s,89,2973,2.993609149007736
10,9s,86,2973,2.8927009754456776
10,9p,75,2973,2.522704339051463
10,1m,71,2973,2.388160107635385
10,2p,70,2973,2.3545240497813658
10,1s,63,2973,2.119071644803229
10,9m,53,2973,1.7827110662630339
10,1p,51,2973,1.715438950554995
10,西,43,2973,1.4463504877228388
10,白,41,2973,1.3790783720147999
10,中,37,2973,1.2445341405987218
10,發,35,2973,1.1772620248906829
10,東,24,2973,0.8072653884964682
10,南,23,2973,0.7736293306424487
10,北,23,2973,0.7736293306424487
11,7p,66,1264,5.2215189873417724
11,5m,57,1264,4.5094936708860756
11,6m,57,1264,4.5094936708860756
11,3p,57,1264,4.5094936708860756
11,7m,56,1264,4.430379746835443
11,3s,53,1264,4.193037974683544
11,5p,52,1264,4.113924050632911
11,7s,51,1264,4.034810126582278
11,3m,49,1264,3.8765822784810124
11,8m,49,1264,3.8765822784810124
11,4p,48,1264,3.7974683544303796
11,4m,47,1264,3.7183544303797467
11,4s,46,1264,3.6392405063291138
11,6s,44,1264,3.481012658227848
11,8s,44,1264,3.481012658227848
11,5s,43,1264,3.401898734177215
11,2s,43,1264,3.401898734177215
11,8p,42,1264,3.3227848101265822
11,6p,39,1264,3.0854430379746836
11,2m,39,1264,3.0854430379746836
11,2p,32,1264,2.5316455696202533
11,1m,30,1264,2.3734177215189876
11,9p,30,1264,2.3734177215189876
11,9s,25,1264,1.9778481012658229
11,1s,23,1264,1.8196202531645569
11,中,21,1264,1.6613924050632911
11,發,20,1264,1.5822784810126582
11,9m,20,1264,1.5822784810126582
11,西,20,1264,1.5822784810126582
11,1p,16,1264,1.2658227848101267
11,東,14,1264,1.1075949367088607
11,白,13,1264,1.0284810126582278
11,北,12,1264,0.9493670886075949
11,南,6,1264,0.47468354430379744
